response_id,family_id,profile_id,detected_intent,detected_category,primary_state,conversation_stage,complexity_signature,conditions_signature,response_text,response_structure_json,source_type,confidence_score,usefulness_score,approved_for_reuse,usage_count,success_count,failure_count,avoid_rules,must_include,supporting_patterns,tags,llm_prompt_version,origin_case_id,notes,is_active,created_at,updated_at
33ad21ca-7dec-46e4-82e1-96e8cb3d3f51,28b2e675-056e-4641-905e-ff58e87ae9a7,2eeb7b96-d177-4620-abd6-76ca220ef059,general_support,transicion_rigidez,sensory_overload,focus_clarification,triple_or_high_complexity,"[""Ansiedad"", ""Trastorno del sueño"", ""Dislexia""]",No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: mostrar qué sigue.,"{""full_text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: mostrar qué sigue.""}",human_curated,0.461,0.751,True,13,4,9,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación""]","[""transicion_rigidez"", ""sensory_overload"", ""memoria""]",controlled_low_demand_support,e9a8c618-7b84-4128-af58-56c7a2bb30fb,dataset sintético-realista para memoria conversacional,True,2026-01-17T08:00:00,2026-05-16T21:00:00
96b8cb2d-083c-4d63-a39d-14a9acdf7521,cabd734c-419f-4c8e-ab9a-1b200e593abe,bb64bfd0-2878-4d2c-a172-94d611568f82,school_support,transicion_rigidez,sensory_overload,focus_clarification,triple_or_high_complexity,"[""TDAH""]","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: avisar el cambio con una frase clara.","{""full_text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: avisar el cambio con una frase clara.""}",system,0.921,0.752,False,3,2,1,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""menos ruido"", ""menos palabras"", ""microacciones""]","[""transicion_rigidez"", ""sensory_overload"", ""memoria""]",controlled_low_demand_support,596d454a-b512-4ec6-9065-69ce97a8393e,dataset sintético-realista para memoria conversacional,True,2026-03-06T08:00:00,2026-05-18T21:00:00
86988658-a046-4f22-bdae-21d86d55e84c,174070a1-b993-450c-b8b6-564bd0b8aaa9,eb33458b-c037-4ddb-b549-91ef1fc774dc,general_support,transicion_rigidez,sensory_overload,focus_clarification,low_or_single,"[""TEA"", ""Discalculia""]","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: dar tiempo breve antes de cambiar.","{""full_text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: dar tiempo breve antes de cambiar.""}",llm_fallback,0.922,0.892,True,10,10,0,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación""]","[""transicion_rigidez"", ""sensory_overload"", ""memoria""]",controlled_low_demand_support,a1202102-9d7b-480d-8760-f39c85f0d543,dataset sintético-realista para memoria conversacional,True,2026-01-14T08:00:00,2026-05-27T21:00:00
87cc8e9f-36b6-4ed9-ba36-3ac06e10d340,ecc7fd0f-c099-4120-83f8-b48c4d1e8a4e,0380aa17-34c0-4d89-abcf-644fa184d7bc,routine_request,transicion_rigidez,sensory_overload,focus_clarification,low_or_single,"[""AACC""]",No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: dar tiempo breve antes de cambiar.,"{""full_text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: dar tiempo breve antes de cambiar.""}",llm_fallback,0.744,0.623,False,12,12,0,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""menos ruido"", ""microacciones"", ""anticipación""]","[""transicion_rigidez"", ""sensory_overload"", ""memoria""]",controlled_crisis_support,b2566bbd-19e0-415b-bfac-f5e2e0e26b2d,dataset sintético-realista para memoria conversacional,True,2026-02-23T08:00:00,2026-05-19T21:00:00
a8367295-ce5f-44b3-9e3f-d46a4d4aae61,d90744ce-8978-418d-889d-31e4cdd05fb4,0b2d6f23-271e-4476-9bfc-357b3f168ab1,routine_request,transicion_rigidez,sensory_overload,focus_clarification,double_exceptionality_or_cooccurrence,"[""TEA"", ""Tourette""]",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: avisar el cambio con una frase clara.,"{""full_text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: avisar el cambio con una frase clara.""}",human_curated,0.473,0.327,True,14,11,3,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""menos palabras"", ""anticipación""]","[""transicion_rigidez"", ""sensory_overload"", ""memoria""]",controlled_crisis_support,5fe36eb7-2e27-4052-8f64-f913138539e7,dataset sintético-realista para memoria conversacional,True,2026-03-13T08:00:00,2026-05-11T21:00:00
6dd3c58f-ca46-44d5-b59b-2b616b57b0d3,e2d1458a-d75a-4097-87bd-9c03905f769c,1121a47e-b078-4dbd-9da8-9212e3ed675a,strategy_feedback,transicion_rigidez,shutdown,adaptive_intervention,double_exceptionality_or_cooccurrence,"[""Tourette""]",Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: dar tiempo breve antes de cambiar.,"{""full_text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: dar tiempo breve antes de cambiar.""}",system,0.711,0.701,True,13,8,5,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""microacciones"", ""menos ruido""]","[""transicion_rigidez"", ""shutdown"", ""memoria""]",controlled_low_demand_support,60272a8c-82b0-4f84-8af5-4aeda7c69eed,dataset sintético-realista para memoria conversacional,True,2026-04-13T08:00:00,2026-05-13T21:00:00
bab718da-e827-4005-a649-bbfb824987c2,118e117b-54ea-4d19-879b-1254fafb11aa,a7105be4-28ae-4b64-bc17-4b6691b16a29,routine_request,transicion_rigidez,shutdown,adaptive_intervention,low_or_single,"[""Mutismo selectivo"", ""Tourette""]",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: dar tiempo breve antes de cambiar.,"{""full_text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: dar tiempo breve antes de cambiar.""}",llm_fallback,0.527,0.83,False,6,5,1,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""menos ruido"", ""validación"", ""menos palabras""]","[""transicion_rigidez"", ""shutdown"", ""memoria""]",controlled_crisis_support,94adb029-8aa9-4454-afbf-ded2528c2418,dataset sintético-realista para memoria conversacional,True,2026-04-16T08:00:00,2026-05-18T21:00:00
ea0711d0-66b8-4935-b4ca-d2d8f12679b3,29907378-5e9b-4661-b240-f444d1725468,9ef7570a-1509-4672-9045-30877ab4f0a7,general_support,transicion_rigidez,shutdown,adaptive_intervention,double_exceptionality_or_cooccurrence,"[""Mutismo selectivo"", ""Dispraxia""]","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: dar tiempo breve antes de cambiar.","{""full_text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: dar tiempo breve antes de cambiar.""}",llm_fallback,0.489,0.716,False,13,6,7,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación"", ""microacciones"", ""menos palabras""]","[""transicion_rigidez"", ""shutdown"", ""memoria""]",controlled_crisis_support,5cb23ff4-88cc-48e4-bbda-c2232913dd49,dataset sintético-realista para memoria conversacional,True,2026-01-30T08:00:00,2026-05-11T21:00:00
ea157f7a-eafe-45f3-829a-3ab2a804ee9d,e7f7306f-ee7a-475a-98b2-7237d089f915,283f7b7b-75da-4506-a0c8-401aee979bb8,emotional_venting,transicion_rigidez,shutdown,adaptive_intervention,low_or_single,"[""Dislexia"", ""Mutismo selectivo""]",No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: dar tiempo breve antes de cambiar.,"{""full_text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: dar tiempo breve antes de cambiar.""}",human_curated,0.739,0.608,False,12,5,7,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""microacciones"", ""menos palabras"", ""menos ruido""]","[""transicion_rigidez"", ""shutdown"", ""memoria""]",controlled_low_demand_support,f470012b-636b-4cb3-ae04-ec2e849e8ab5,dataset sintético-realista para memoria conversacional,True,2026-04-02T08:00:00,2026-05-31T21:00:00
d3ecbc75-911d-4f18-9d91-f0e08fa59e2c,a663973a-16d3-49e1-9336-7118691390ac,449a32ae-597f-4ab4-b797-6b34d4e2d2f7,routine_request,transicion_rigidez,shutdown,adaptive_intervention,triple_or_high_complexity,"[""AACC""]",Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: mostrar qué sigue.,"{""full_text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: mostrar qué sigue.""}",llm_fallback,0.757,0.732,True,13,7,6,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación"", ""menos palabras"", ""validación""]","[""transicion_rigidez"", ""shutdown"", ""memoria""]",controlled_crisis_support,66a81879-297d-4204-9d71-f615073e71a3,dataset sintético-realista para memoria conversacional,True,2026-03-09T08:00:00,2026-05-13T21:00:00
f4d094ad-fd5d-4902-81c8-ad5aa21e223a,1bdc9c33-f5b7-4049-af7d-aec73656c9cd,a0c01555-de92-487d-a0ed-21dacf3bad75,school_support,apoyo_general,emotional_dysregulation,case_learning,low_or_single,"[""TOC"", ""Sensibilidad sensorial""]",Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: ajustar una cosa a la vez.,"{""full_text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: ajustar una cosa a la vez.""}",system,0.722,0.316,False,11,3,8,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación"", ""menos palabras""]","[""apoyo_general"", ""emotional_dysregulation"", ""memoria""]",controlled_crisis_support,cf1bf043-ec64-4b63-8b11-4bb084fe9f1c,dataset sintético-realista para memoria conversacional,True,2026-04-11T08:00:00,2026-05-15T21:00:00
5656d9cb-3a14-4654-b14f-877563d5ec3d,796c6dd6-d124-4ba4-bc2b-36f7f5bd96b8,86c3fc22-b60d-49dc-9e2d-045b68bdf9a0,routine_request,apoyo_general,emotional_dysregulation,case_learning,double_exceptionality_or_cooccurrence,"[""Tourette""]","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: repetir una sola pauta útil.","{""full_text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: repetir una sola pauta útil.""}",llm_fallback,0.526,0.715,True,5,4,1,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación"", ""microacciones"", ""menos palabras""]","[""apoyo_general"", ""emotional_dysregulation"", ""memoria""]",controlled_low_demand_support,0ff4bd2c-fa70-4661-a9fc-17d4254a45a3,dataset sintético-realista para memoria conversacional,True,2026-03-26T08:00:00,2026-05-11T21:00:00
2d8a6f1f-77eb-4abb-b178-c5dbe8be566c,1e078026-5215-4954-9008-8e40fc0623a0,27794c57-be73-49b2-85b9-275438618801,routine_request,apoyo_general,emotional_dysregulation,case_learning,triple_or_high_complexity,[],Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: anotar lo que sí ayudó.,"{""full_text"": ""Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: anotar lo que sí ayudó.""}",system,0.859,0.705,False,15,14,1,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""microacciones""]","[""apoyo_general"", ""emotional_dysregulation"", ""memoria""]",controlled_crisis_support,35b71eca-7bbc-4128-8a12-e45dab05a9b4,dataset sintético-realista para memoria conversacional,True,2026-02-19T08:00:00,2026-05-15T21:00:00
eac98652-ad5b-481c-aebd-d622e02a48db,8e2aa368-b3e0-4edd-b5be-89e4779573e4,15ccbd91-0e1e-4e1a-9ca2-1790cf8996ed,general_support,apoyo_general,emotional_dysregulation,case_learning,low_or_single,"[""Sensibilidad sensorial""]",No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: anotar lo que sí ayudó.,"{""full_text"": ""No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: anotar lo que sí ayudó.""}",llm_fallback,0.457,0.59,True,6,4,2,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""menos palabras""]","[""apoyo_general"", ""emotional_dysregulation"", ""memoria""]",controlled_support_generation,d319efa7-4ec4-4629-8c69-6b9d0eaebc7f,dataset sintético-realista para memoria conversacional,True,2026-03-08T08:00:00,2026-05-25T21:00:00
4fced707-929c-433d-b70c-cd81e4cbcda7,6de7afcf-3f18-4f11-94d1-55afc0aeefba,cbe32f90-e670-4f47-be07-1f581b613d94,urgent_support,apoyo_general,emotional_dysregulation,case_learning,triple_or_high_complexity,[],Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: anotar lo que sí ayudó.,"{""full_text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: anotar lo que sí ayudó.""}",llm_fallback,0.92,0.201,False,16,14,2,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación""]","[""apoyo_general"", ""emotional_dysregulation"", ""memoria""]",controlled_low_demand_support,b4da180e-ed45-46dd-99d6-b7705afa11f9,dataset sintético-realista para memoria conversacional,True,2026-03-15T08:00:00,2026-05-28T21:00:00
c4291405-9886-4a76-8af3-8abfe0b64b4b,9a9a09a3-5515-4657-9b0c-fb149bea0cf6,404fb6ad-d2d3-4d63-b05c-3b7675aae2fe,clarification_request,disfuncion_ejecutiva,executive_dysfunction,focus_clarification,double_exceptionality_or_cooccurrence,"[""Dispraxia"", ""Trastorno del sueño""]","Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: hacer solo el primer paso.","{""full_text"": ""Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: hacer solo el primer paso.""}",llm_fallback,0.793,0.848,True,18,16,2,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación""]","[""disfuncion_ejecutiva"", ""executive_dysfunction"", ""memoria""]",controlled_low_demand_support,d05b01bc-e309-4e99-96a4-1719a33a2c92,dataset sintético-realista para memoria conversacional,True,2026-02-27T08:00:00,2026-05-29T21:00:00
e6a57fbf-3c03-4f48-966f-6551e446114b,b1620450-6abc-4812-a24e-6824cd8822e3,ed9b3593-cac7-4c26-966c-3e0dfc46d8e0,school_support,disfuncion_ejecutiva,executive_dysfunction,focus_clarification,triple_or_high_complexity,"[""TDAH""]",Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: mostrar visualmente el inicio.,"{""full_text"": ""Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: mostrar visualmente el inicio.""}",system,0.782,0.909,True,17,11,6,"[""culpabilizar"", ""moralizar""]","[""microacción concreta""]","[""anticipación"", ""menos palabras""]","[""disfuncion_ejecutiva"", ""executive_dysfunction"", ""memoria""]",controlled_low_demand_support,36a26716-2951-4226-bf27-06024f03c8f5,dataset sintético-realista para memoria conversacional,True,2026-01-18T08:00:00,2026-05-24T21:00:00
