evidence_area,canonical_source,canonical_module,public_output_or_use,evidence_level,privacy_status,provenance_note
Muestra y parámetros del estudio,Documento Maestro Oficial auditado,M01_RESUMEN; M02_PARAMETROS; M33_FLUJO_MUESTRA,"README, metodología y flujo de muestra",Agregado,Publicable,562 participantes; 281 experimental y 281 control; intervención activa de 18 semanas.
DASS-21,Documento Maestro Oficial auditado,M05_DASS_PREPOST -> M06_DASS_RESUMEN,03_ANALISIS/dass21_resumen.csv y 17_research_analysis_results.csv,Resultados agregados derivados de puntuaciones individuales auditadas,Publicable solo en forma agregada,Estrés como resultado principal; ansiedad y depresión como resultados exploratorios.
ANCOVA DASS-21,Documento Maestro Oficial auditado,M07_ANCOVA; M30_SUPUESTOS_ANCOVA,03_ANALISIS/ancova.csv y 17_research_analysis_results.csv,Inferencial agregado,Publicable,Modelo postest ~ grupo + pretest con errores estándar robustos HC3.
Tamaños del efecto,Documento Maestro Oficial auditado,M08_EFECTOS; M32_EFECTOS_IC,03_ANALISIS/effect_sizes.csv y 17_research_analysis_results.csv,Inferencial agregado,Publicable,"Incluye Cohen's d, Hedges g e intervalos de confianza cuando corresponde."
MSPSS,Documento Maestro Oficial auditado,M09_MSPSS_OFICIAL,03_ANALISIS/mspss_resumen.csv y 17_research_analysis_results.csv,Resultado agregado oficial,Publicable solo en forma agregada,El resultado MSPSS oficial se mantiene separado del índice auxiliar de apoyo.
Índice auxiliar de apoyo,Documento Maestro Oficial auditado,M10_APOYO_AUXILIAR,Análisis secundarios agregados,Secundario,Publicable solo en forma agregada,No debe denominarse MSPSS.
WHOQOL-BREF,Documento Maestro Oficial auditado,M11_WHOQOL_ITEMS -> M12A_WHOQOL_PUNTAJES -> M12_WHOQOL_RESUMEN,03_ANALISIS/whoqol_resumen.csv y 17_research_analysis_results.csv,Resultados agregados por dominio,Publicable solo en forma agregada,Los reactivos y puntajes individuales permanecen fuera del repositorio público.
Experiencia de uso,Documento Maestro Oficial auditado,M13A_EXPERIENCIA_PUNTAJES; M13_EXPERIENCIA_POST,03_ANALISIS/experiencia_uso_resumen.csv,Descriptivo agregado,Publicable,Incluye indicadores agregados de experiencia de uso y continuidad.
Uso durante la intervención,Documento Maestro Oficial auditado,M14_USO_OFICIAL; M14B_USO_SEMANAL,04_DASHBOARD/uso_oficial.csv y uso_semanal.csv,Agregado temporal,Publicable,"Ventana experimental activa: 12-ene-2026 a 17-may-2026; 1,325 sesiones y 10,212 mensajes."
Corpus técnico completo,Documento Maestro Oficial auditado,M14_USO_OFICIAL; M14E_METRICAS_HIST; M16_FRANJAS_HORARIAS,Dashboard y documentación técnica agregada,Agregado técnico,Publicable,"Corpus técnico completo: 6,463 sesiones y 47,670 mensajes; se reporta separado de la ventana experimental."
Correlaciones de uso,Documento Maestro Oficial auditado,M14C_CORRELACIONES,03_ANALISIS/correlaciones_uso.csv y 17_research_analysis_results.csv,Inferencial agregado,Publicable,Las asociaciones dentro del grupo experimental se reportan separadas de las asociaciones de la muestra total.
Regresión de uso,Documento Maestro Oficial auditado,M14D_REGRESION_USO,03_ANALISIS/regresion_uso.csv y 17_research_analysis_results.csv,Inferencial agregado,Publicable,No se identificó una relación dosis–respuesta simple significativa dentro del grupo experimental.
PLN histórico,Documento Maestro Oficial auditado,M17_PLN_OFICIAL,03_ANALISIS/nlp_metrics_historical.csv,Histórico agregado,Publicable,"1,020 registros; 9 categorías; accuracy 0.93. Se conserva como capa histórica separada."
PLN operativo,Documento Maestro Oficial auditado,M17B_PLN_METRICAS; M17C_PLN_CONFUSION; M17D_PLN_CATEGORIAS,03_ANALISIS/nlp_metrics_operational.csv y category_distribution.csv,Técnico reproducible,Publicable,"6,463 registros; 7 categorías; accuracy técnica 1.0 como control interno reproducible, no como validación humana externa."
Sociodemografía,Documento Maestro Oficial auditado,M27_SOCIO_DESCRIPT,03_ANALISIS/sociodemografia_descriptiva.csv,Agregado,Publicable,Se publican únicamente frecuencias y descriptivos agregados.
Comparabilidad basal,Documento Maestro Oficial auditado,M28_COMPARABILIDAD,03_ANALISIS/comparabilidad_basal.csv,Inferencial agregado,Publicable,Comparación basal entre grupos para documentar equivalencia inicial.
Pruebas de distribución y sensibilidad,Documento Maestro Oficial auditado,M29_NORMALIDAD; M31_NO_PARAMETRICAS,03_ANALISIS/normalidad.csv y no_parametricas.csv,Inferencial agregado,Publicable,Complementa la interpretación de los análisis paramétricos.
Trazabilidad y control de calidad,Documento Maestro Oficial auditado,M21_TRAZABILIDAD; M22_CONTROL_CALIDAD; M35_REPRODUCIBILIDAD; M36_VALIDACION_ESTADO; M37_DECISIONES_CANONICAS,05_DOCUMENTACION,Metodológico,Publicable,"Documenta reglas de cálculo, controles, decisiones canónicas y reproducibilidad."
