session_id,user_role,message,detected_category,emotional_state,profile_id,family_id,created_at
session_02402def_01,user,Cuando hay que cambiar de actividad todo se complica.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:38:00
session_02402def_01,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:39:00
session_02402def_01,user,Cuando intento explicarle en ese momento se enoja más.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:40:00
session_02402def_01,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:41:00
session_02402def_01,user,"En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.",transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:42:00
session_02402def_01,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:43:00
session_02402def_01,user,Yo también ya estaba muy saturada y siento que eso empeoró todo.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:44:00
session_02402def_01,assistant,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.",transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:45:00
session_02402def_01,user,Lo intenté antes y funcionó solo un rato.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:46:00
session_02402def_01,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:47:00
session_02402def_01,user,Creo que lo más difícil con Valeria Emmanuel fue el ruido y que ya venía cansado.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:48:00
session_02402def_01,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:49:00
session_02402def_01,user,Cuando intento explicarle en ese momento se enoja más.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:50:00
session_02402def_01,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:51:00
session_02402def_01,user,También noto que Valeria Emmanuel se bloquea cuando le doy muchas instrucciones.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:52:00
session_02402def_01,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: dar tiempo breve antes de cambiar.,transicion_rigidez,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-02-04T09:53:00
session_02402def_02,user,"Probamos lo anterior y ayudó un poco, pero no del todo.",apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-04-14T17:16:00
session_02402def_02,assistant,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: ajustar una cosa a la vez.",apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-04-14T17:17:00
session_02402def_03,user,Tarda horas en dormirse y se despierta varias veces.,sueno_regulacion,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-04-19T23:16:00
session_02402def_03,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora. Una microacción posible es: cerrar pantallas antes.,sueno_regulacion,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-04-19T23:17:00
session_02402def_04,user,"Cada vez que hay tarea, Valeria Emmanuel se bloquea desde el inicio.",disfuncion_ejecutiva,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-19T13:58:00
session_02402def_04,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora.,disfuncion_ejecutiva,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-19T13:59:00
session_02402def_04,user,Cuando intento explicarle en ese momento se enoja más.,disfuncion_ejecutiva,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-19T14:00:00
session_02402def_04,assistant,Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: mostrar visualmente el inicio.,disfuncion_ejecutiva,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-19T14:01:00
session_02402def_05,user,"Probamos lo anterior y ayudó un poco, pero no del todo.",apoyo_general,emotional_dysregulation,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-22T15:58:00
session_02402def_05,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,apoyo_general,emotional_dysregulation,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-22T15:59:00
session_02402def_05,user,"En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.",apoyo_general,emotional_dysregulation,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-22T16:00:00
session_02402def_05,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más. Una microacción posible es: ajustar una cosa a la vez.,apoyo_general,emotional_dysregulation,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-22T16:01:00
session_02402def_06,user,"Probamos lo anterior y ayudó un poco, pero no del todo.",apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T16:58:00
session_02402def_06,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T16:59:00
session_02402def_06,user,También noto que Valeria Emmanuel se bloquea cuando le doy muchas instrucciones.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:00:00
session_02402def_06,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:01:00
session_02402def_06,user,Yo también ya estaba muy saturada y siento que eso empeoró todo.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:02:00
session_02402def_06,assistant,Parece que este momento está siendo muy demandante. Hagamos esto simple.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:03:00
session_02402def_06,user,Creo que lo más difícil con Valeria Emmanuel fue el ruido y que ya venía cansado.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:04:00
session_02402def_06,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:05:00
session_02402def_06,user,Yo también ya estaba muy saturada y siento que eso empeoró todo.,apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:06:00
session_02402def_06,assistant,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción. Una microacción posible es: anotar lo que sí ayudó.",apoyo_general,executive_dysfunction,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-24T17:07:00
session_02402def_07,user,Funcionó un rato nada más.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T20:58:00
session_02402def_07,assistant,Parece que este momento está siendo muy demandante. Hagamos esto simple.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T20:59:00
session_02402def_07,user,Cuando intento explicarle en ese momento se enoja más.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:00:00
session_02402def_07,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:01:00
session_02402def_07,user,También noto que Valeria Emmanuel se bloquea cuando le doy muchas instrucciones.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:02:00
session_02402def_07,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:03:00
session_02402def_07,user,Creo que lo más difícil con Valeria Emmanuel fue el ruido y que ya venía cansado.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:04:00
session_02402def_07,assistant,Parece que este momento está siendo muy demandante. Hagamos esto simple.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:05:00
session_02402def_07,user,Yo también ya estaba muy saturada y siento que eso empeoró todo.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:06:00
session_02402def_07,assistant,Parece que este momento está siendo muy demandante. Hagamos esto simple. Una microacción posible es: ajustar una cosa a la vez.,apoyo_general,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-29T21:07:00
session_02402def_08,user,"Entiende, pero no logra arrancar cuando hay que trabajar.",disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:01:00
session_02402def_08,assistant,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.",disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:02:00
session_02402def_08,user,Creo que lo más difícil con Valeria Emmanuel fue el ruido y que ya venía cansado.,disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:03:00
session_02402def_08,assistant,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.",disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:04:00
session_02402def_08,user,"En la escuela dicen que no participa, pero en casa veo que sí quiere y no puede arrancar.",disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:05:00
session_02402def_08,assistant,Estoy contigo. Vamos a ir por una sola acción posible ahora.,disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:06:00
session_02402def_08,user,Lo intenté antes y funcionó solo un rato.,disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:07:00
session_02402def_08,assistant,No necesitas resolverlo todo de golpe. Veamos qué está pesando más.,disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:08:00
session_02402def_08,user,También noto que Valeria Emmanuel se bloquea cuando le doy muchas instrucciones.,disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:09:00
session_02402def_08,assistant,"Antes de seguir, dime qué se ve más intenso ahora mismo: ruido, cansancio, tarea o emoción.",disfuncion_ejecutiva,general_distress,144b8108-f23c-4bf5-aab9-27382ba12462,02402def-d911-468c-88fa-4a691bbb79d6,2026-05-28T21:10:00
