step_id,output,source,operation,records_in,records_out,data_values_modified,responsible,date
T001,sample_summary.csv,fuente analítica auditada,"validación de elegibilidad, grupo y unicidad",562,562,no,Cristhianne De León,2026-08-11
T002,prepost_summary.csv,puntuaciones DASS-21 auditadas,agregación por dimensión y grupo; cálculo de cambios,562,6 filas agregadas,solo_derivadas,Cristhianne De León,2026-08-11
T003,mspss_summary.csv,resultado oficial MSPSS,armonización descriptiva pre/post por grupo,agregado,2 filas,no,Cristhianne De León,2026-08-11
T004,whoqol_summary.csv,puntuaciones WHOQOL auditadas,agregación por dominio y grupo; transformación 0–100,562,10 filas agregadas,solo_derivadas,Cristhianne De León,2026-08-11
T005,ancova_hc3.csv,puntuaciones pre/post auditadas,ANCOVA postest ~ grupo + pretest con errores robustos HC3,562,9 resultados,solo_estadisticos,Cristhianne De León,2026-08-11
T006,effect_sizes.csv,resultados pre/post auditados,estandarización de diferencias postest,562,9 resultados,solo_estadisticos,Cristhianne De León,2026-08-11
T007,usage_summary.csv,registros técnicos auditados,separación de ventana experimental y corpus técnico,6463,11 indicadores,solo_derivadas,Cristhianne De León,2026-08-11
T008,weekly_distribution.csv,sesiones técnicas auditadas,filtrado 12-ene a 17-may y agregación semanal,1325,18 semanas,solo_derivadas,Cristhianne De León,2026-08-11
T009,usage_correlations.csv,métricas individuales auditadas de uso,Spearman dentro del grupo experimental,281,2 resultados,solo_estadisticos,Cristhianne De León,2026-08-11
T010,usage_regression.csv,métricas individuales auditadas de uso,modelo multivariable de mejoría del estrés,281,6 salidas,solo_estadisticos,Cristhianne De León,2026-08-11
T011,category_distribution.csv,clasificación operativa,conteo y proporción por siete categorías,6463,7 categorías,solo_derivadas,Cristhianne De León,2026-08-11
T012,nlp_metrics_historical.csv,corpus histórico etiquetado,síntesis de métricas históricas,1020,1 fila,solo_estadisticos,Cristhianne De León,2026-08-11
T013,nlp_metrics.csv,corpus operativo auditado,"holdout agrupado por familia, semilla 42",6463,métricas técnicas,solo_estadisticos,Cristhianne De León,2026-08-11
T014,dashboard_kpis.csv,salidas agregadas 03_ANALISIS,selección de KPIs canónicos,agregado,31 KPIs,no,Cristhianne De León,2026-08-11
T015,dashboard_weeks.csv,weekly_distribution.csv,mapeo de 18 semanas activas a etiquetas ISO,18,18,no,Cristhianne De León,2026-08-11
T016,NeuroGuIA_Concentrado_Publico.xlsx,salidas agregadas 03_ANALISIS y 04_DASHBOARD,consolidación pública sin filas individuales,agregado,12 hojas,no,Cristhianne De León,2026-08-11
