family_id,unit_type,caregiver_alias,context_notes,support_network,environmental_factors,global_history,created_at,updated_at
dea6a23c-20c9-4a58-990f-b32aac6b1169,family,Cuidador Ana,cuidador principal con poca red de apoyo,poco apoyo,horarios variables,mejor respuesta cuando hay menos presión,2025-12-21T09:01:00,2025-12-21T09:01:00
e2c4fdcd-bec5-48f6-932b-5021069afc5e,family,Tutor Mateo,cuidador principal con poca red de apoyo,sin apoyo claro,cambios constantes de rutina,sin un patrón completamente claro,2025-12-06T15:24:00,2025-12-06T15:24:00
86deb79a-93ee-4cfc-a8ca-6d86fca5b239,individual,Cuidadora Valeria,varios cambios recientes,apoyo moderado,ruido frecuente en casa,"mejoría parcial con estructura, pero no sostenida",2025-12-12T10:34:00,2025-12-12T10:34:00
d4384c60-32b7-4fdc-9eab-2061e62e4982,family,Cuidador Santiago,sueño irregular y estrés escolar,apoyo variable,cambios constantes de rutina,mejor respuesta cuando hay menos presión,2025-12-02T14:46:00,2025-12-02T14:46:00
515b036e-884b-4d5a-93df-138fdc9cfa2b,family,Tutor Renata,sueño irregular y estrés escolar,red de apoyo limitada,poca red de apoyo,sin un patrón completamente claro,2025-12-09T11:42:00,2025-12-09T11:42:00
7b1ff7e5-ed74-4a36-9a20-71845011f89c,family,Cuidadora Camila,varios cambios recientes,red de apoyo limitada,traslados largos,mejor respuesta cuando hay menos presión,2025-12-22T11:25:00,2025-12-22T11:25:00
81fa17dc-5222-4e22-bd27-c7209957fa2b,family,Cuidador Emiliano,carga funcional alta y poco descanso,sin apoyo claro,traslados largos,mejor respuesta cuando hay menos presión,2025-12-28T09:29:00,2025-12-28T09:29:00
e6ff2d8b-7d4e-44a6-a68f-061e7624dcb5,family,Papá Lucía,familia con alta demanda emocional,red de apoyo limitada,traslados largos,sin un patrón completamente claro,2025-12-03T18:27:00,2025-12-03T18:27:00
46aa23c8-3d52-46b6-846b-33a5ae6091b8,family,Tutor Diego,sueño irregular y estrés escolar,sin apoyo claro,presión escolar,mejor respuesta cuando hay menos presión,2025-12-14T13:40:00,2025-12-14T13:40:00
d4f35426-b48c-4ccb-8a6f-ef83a9972bfa,family,Tutor Elena,dudas sobre diagnóstico y manejo cotidiano,sin apoyo claro,presión escolar,"mejoría parcial con estructura, pero no sostenida",2025-12-07T11:47:00,2025-12-07T11:47:00
