transformation_id,evidence_area,input_source,transformation,output,rule_or_formula,validation_or_control,publication_scope
TR-01,Muestra analítica,Fuente analítica auditada,"Validación de elegibilidad, grupo y unicidad de participante",Muestra final agregada,n=562; experimental=281; control=281,Flujo de muestra y control de calidad,Publicar solo conteos agregados
TR-02,Ventana temporal de intervención,Registros técnicos auditados,"Clasificación temporal de registros en preparación, intervención activa, cierre y periodos externos",Uso temporal agregado,Intervención activa: 12-ene-2026 a 17-may-2026; 18 semanas,Contraste con parámetros canónicos y tabla semanal,Publicar solo agregados temporales
TR-03,DASS-21,Puntuaciones auditadas pre/post,Agrupación por dimensión y grupo; cálculo descriptivo pre/post y cambio favorable,Resumen DASS-21,Cambio favorable = pre - post; porcentaje = (pre - post) / pre × 100,Contraste con resumen auditado,Publicar por dimensión y grupo
TR-04,ANCOVA DASS-21,Puntuaciones pre/post auditadas,Ajuste del postest por grupo y pretest,Diferencia ajustada entre grupos,postest ~ grupo + pretest; errores estándar robustos HC3,Verificación de supuestos y diagnóstico del modelo,"Publicar coeficiente, IC95%, p y R²"
TR-05,Tamaños del efecto,Resultados pre/post auditados,Estandarización de diferencias entre grupos,"Cohen's d, Hedges g e intervalos de confianza",Diferencia entre grupos / desviación estándar combinada,Contraste con tablas auditadas de efectos e IC,Publicar resultados agregados
TR-06,MSPSS,Resultado oficial agregado auditado,Reporte de medias pre/post por grupo en la escala armonizada,MSPSS oficial agregado,Escala 1-5; cambio = post - pre,Mantener separado del índice auxiliar de apoyo,Publicar únicamente resultado agregado oficial
TR-07,Índice auxiliar de apoyo,Puntuaciones auxiliares auditadas,Análisis descriptivo e inferencial separado de MSPSS,Resultados secundarios de apoyo,No renombrar ni interpretar como MSPSS,Decisión canónica de separación entre medidas,Publicar solo agregados
TR-08,WHOQOL-BREF,Respuestas y puntuaciones auditadas,Cálculo por dominio y transformación a escala 0-100,Resumen WHOQOL-BREF por dominio,"Dominios físico, psicológico, relaciones sociales y entorno; índice global descriptivo",Contraste con puntajes y resumen auditados,No publicar respuestas ni puntajes individuales
TR-09,Experiencia de uso,Puntajes auditados del grupo experimental,Agregación descriptiva por instrumento o indicador,Resumen de experiencia de uso,"Media, DE, mínimo y máximo según indicador disponible",Contraste con tablas de experiencia auditadas,Publicar únicamente estadísticas agregadas
TR-10,Uso durante la intervención,Registros técnicos auditados,Filtrado por ventana activa y agregación semanal,Uso experimental de 18 semanas,"1,325 sesiones y 10,212 mensajes en la ventana activa",Contraste con uso oficial y uso semanal auditados,Publicar agregados
TR-11,Corpus técnico completo,Registros técnicos auditados,Agregación total independiente de la ventana experimental,Corpus técnico consolidado,"6,463 sesiones y 47,670 mensajes",Separación explícita frente a la ventana experimental,Publicar solo métricas agregadas
TR-12,Franjas horarias,Marcas temporales de sesiones,Asignación de cada sesión a un intervalo horario y agregación,Distribución horaria agregada,00-05:59; 06-11:59; 12-17:59; 18-23:59,Contraste con tabla oficial de franjas,Publicar conteos y porcentajes
TR-13,Correlaciones de uso,Métricas individuales auditadas para análisis interno,Correlación de Spearman entre exposición y mejoría del estrés,"rho, p y n",Análisis separado para muestra total y grupo experimental,Contraste con tabla auditada de correlaciones,"Publicar coeficientes agregados, no filas individuales"
TR-14,Regresión de uso,Métricas individuales auditadas para análisis interno,Regresión de mejoría del estrés sobre exposición y covariables,"Coeficientes, errores estándar, p y R²",Mensajes + continuidad + estrés basal + edad,Contraste con salida auditada del modelo,"Publicar resultados del modelo, no datos individuales"
TR-15,PLN histórico,Corpus histórico etiquetado,Evaluación histórica del clasificador por nueve categorías,Métricas históricas del PLN,"1,020 registros; 9 categorías; accuracy 0.93",Mantener esta capa separada del control operativo,Publicar métricas agregadas
TR-16,PLN operativo,Corpus técnico auditado,Separación train/test por familia y evaluación interna del clasificador,Métricas operativas y matriz de confusión,"Semilla 42; train=5,152; test=1,311; 7 categorías",Control técnico reproducible; no validación humana externa,Publicar métricas y frecuencias; no corpus fila por fila
TR-17,Categorías conversacionales,Clasificación operativa auditada,Conteo por categoría y cálculo de proporciones,Distribución de siete categorías operativas,"Proporción = frecuencia / 6,463",Contraste con distribución auditada de categorías,Publicar frecuencias y proporciones
TR-18,Sociodemografía,Variables de caracterización auditadas,Agrupación de frecuencias y descriptivos,Caracterización agregada de la muestra,"Conteos, porcentajes y estadísticos descriptivos",Control de consistencia con muestra final,Publicar solo agregados
TR-19,Comparabilidad basal,Variables basales auditadas,Comparación estadística entre grupos antes de la intervención,Tabla de comparabilidad basal,Pruebas según tipo de variable y distribución,Contraste con análisis de comparabilidad auditado,Publicar resultados agregados
TR-20,Trazabilidad y reproducibilidad,Documento Maestro Oficial auditado,"Vinculación entre objetivos, variables, fuentes, procedimientos y evidencias",Documentación reproducible y consistente,"Una sola fuente analítica de referencia para tesis, dashboard y repositorio","Control de calidad, decisiones canónicas y huellas de archivos",Publicar documentación metodológica
