instrument_code,instrument_name,items_or_fields,structure,response_or_score_format,application,public_text_policy,public_data_policy,canonical_source
SOCIO14,Instrumento sociodemográfico,14,Campos de caracterización y variables de control,Variables categóricas y descriptivas,Línea base; ambos grupos,Se publica la estructura metodológica del instrumento,Solo descriptivos agregados; sin registros individuales,Metodología final / Documento Maestro Oficial auditado
DASS21,DASS-21 contextualizado,21,"Tres dimensiones: estrés, ansiedad y depresión; 7 reactivos por dimensión",Puntuación por dimensión; transformación ×2 para escala 0–42,Pretest y postest; ambos grupos,No se reproduce el texto completo de los reactivos en este CSV,Solo resultados agregados por dimensión y grupo,Metodología final / Documento Maestro Oficial auditado
MSPSS12,MSPSS,12,Medida de apoyo social percibido,Resultado oficial agregado armonizado en escala 1–5,Pretest y postest; ambos grupos,No se reproduce el texto completo de los reactivos en este CSV,Se publica únicamente el resultado agregado oficial,Metodología final / Documento Maestro Oficial auditado
APOYO_AUX,Índice auxiliar de apoyo,1,Indicador auxiliar individual separado de MSPSS,Puntuación 1–5,Pretest y postest; ambos grupos,No corresponde a un reactivo de MSPSS,Solo resultados agregados o análisis ajustados,Metodología final / Documento Maestro Oficial auditado
WHOQOL26,WHOQOL-BREF,26,"Cuatro dominios: físico, psicológico, relaciones sociales y entorno; Q3, Q4 y Q26 con recodificación inversa",Respuestas 1–5; dominios transformados a 0–100,Pretest y postest; ambos grupos,Texto oficial de reactivos no reproducido en este CSV,Solo puntuaciones y resultados agregados por dominio,Metodología final / Documento Maestro Oficial auditado
UTIL10,EUA-neuroguIA,10,"Usabilidad y aceptabilidad: facilidad, navegación, rapidez, comodidad, personalización, accesibilidad, carácter intuitivo, seguridad percibida, recomendación y experiencia general",Likert 1–5,Postest; grupo experimental,"Se documentan dimensiones/temas, no respuestas individuales",Puntaje agregado descriptivo,Metodología final / Documento Maestro Oficial auditado
APOYO10,EEP-neuroguIA,10,Empatía percibida y acompañamiento,Estructura del instrumento documentada,Postest; grupo experimental,Se documenta la estructura sin publicar respuestas individuales,Uso metodológico/documental; sin matriz individual publicada,Metodología final / Documento Maestro Oficial auditado
EAPC12,EAPC-neuroguIA,12,Accesibilidad y pertinencia cultural,Estructura del instrumento documentada,Postest; grupo experimental,Se documenta la estructura sin publicar respuestas individuales,Uso metodológico/documental; sin matriz individual publicada,Metodología final / Documento Maestro Oficial auditado
PRE5,Pretest descriptivo,5,Condiciones iniciales y expectativas,Campos descriptivos,Pretest; grupo experimental,Se documenta su función descriptiva,Solo indicadores agregados disponibles,Metodología final / Documento Maestro Oficial auditado
POST5,Postest descriptivo,5,"Experiencia final, satisfacción y continuidad",Campos descriptivos,Postest; grupo experimental,Se documenta su función descriptiva,Solo indicadores agregados disponibles,Metodología final / Documento Maestro Oficial auditado
